id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,iso_region,municipality,scheduled_service,gps_code,iata_code,score
26555,VIDP,large_airport,Indira Gandhi International Airport,28.5665,77.103104,777,IN-DL,New Delhi,1,VIDP,DEL,51471
26434,VABB,large_airport,Chhatrapati Shivaji International Airport,19.08869934,72.86789703,39,IN-MM,Mumbai,1,VABB,BOM,1014471
35145,VOBL,large_airport,Kempegowda International Airport,13.1979,77.706299,3000,IN-KA,Bangalore,1,VOBL,BLR,51196
26618,VOMM,large_airport,Chennai International Airport,12.99000549,80.16929626,52,IN-TN,Chennai,1,VOMM,MAA,51146
26444,VAGO,large_airport,Dabolim Airport,15.38080025,73.83139801,150,IN-GA,Vasco da Gama,1,VOGO,GOI,871
26609,VOCI,large_airport,Cochin International Airport,10.152,76.401901,30,IN-KL,Kochi,1,VOCI,COK,996
26496,VECC,large_airport,Netaji Subhash Chandra Bose International Airport,22.65469933,88.44670105,16,IN-WB,Kolkata,1,VECC,CCU,1196
35141,VOHS,large_airport,Rajiv Gandhi International Airport,17.23131752,78.42985535,2024,IN-TG,Hyderabad,1,VOHS,HYD,1196
26629,VOTV,large_airport,Trivandrum International Airport,8.48211956,76.92009735,15,IN-KL,Thiruvananthapuram,1,VOTV,TRV,1046
26431,VAAH,medium_airport,Sardar Vallabhbhai Patel International Airport,23.07719994,72.63469696,189,IN-GJ,Ahmedabad,1,VAAH,AMD,1046
26563,VIJP,medium_airport,Jaipur International Airport,26.8242,75.812202,1263,IN-RJ,Jaipur,1,VIJP,JAI,1046
26603,VOBG,medium_airport,HAL Airport,12.94999981,77.66819763,2912,IN-KA,Bangalore,1,VOBG,,1046
26455,VAPO,medium_airport,Pune Airport,18.58209991,73.91970062,1942,IN-MM,Pune,1,VAPO,PNQ,796
26540,VIAR,large_airport,Sri Guru Ram Dass Jee International Airport,31.70960045,74.79730225,756,IN-PB,Amritsar,1,VIAR,ATQ,1046
26438,VABO,medium_airport,Vadodara Airport,22.336201,73.226303,129,IN-GJ,Vadodara,1,VABO,BDQ,996
26617,VOML,medium_airport,Mangalore International Airport,12.9612999,74.89009857,337,IN-KA,Mangalore,1,VOML,IXE,1021
